nv_enlightenment;Enlightenment;;;;;;;;;;;;;x,,,
nv_tradition;Tradition;;;;;;;;;;;;;x,,,
nv_progress;Progress;;;;;;;;;;;;;x,,,
nv_loyalty;Loyalty;;;;;;;;;;;;;x,,,
nv_independence;Independence;;;;;;;;;;;;;x,,,
nv_might;Might;;;;;;;;;;;;;x,,,
nv_unity;Unity;;;;;;;;;;;;;x,,,
nv_fraternity;Fraternity;;;;;;;;;;;;;x,,,
nv_prosperity;Prosperity;;;;;;;;;;;;;x,,,
nv_freedom;Freedom;;;;;;;;;;;;;x,,,
nv_glory;Glory;;;;;;;;;;;;;x,,,
nv_supremacy;Supremacy;;;;;;;;;;;;;x,,,
nv_dominion;Dominion;;;;;;;;;;;;;x,,,
nv_productivity;Productivity;;;;;;;;;;;;;x,,,
